lng,lat,num,street,type,city,zip,address,APN,line_1,line_2,state,postal
-122.168811413766889,37.752515143305452,1931,90TH,AV,,94603,1931 90TH AV OAKLAND 94603,043 459700900,,,,
-122.208407117705093,37.784218410290883,3814,LYON,AV,,94601,3814 LYON AV OAKLAND 94601,032 210601800,,,,
-122.226836418678175,37.774979102729219,954,FRUITVALE,AV,,94601,954 FRUITVALE AV OAKLAND 94601,033 218600400,,,,
-122.226561588100154,37.77487527436579,3223,SAN LEANDRO,ST,,94601,3223 SAN LEANDRO ST OAKLAND 94601,033 218600200,,,,
-122.226725069803763,37.77500085932806,3221,SAN LEANDRO,ST,,94601,3221 SAN LEANDRO ST OAKLAND 94601,033 218600100,,,,
-122.174924804109878,37.746742615110918,1270,93RD,AV,,94603,1270 93RD AV OAKLAND 94603,044 496302002,,,,
-122.201299735212032,37.741538237932971,7900,EDGEWATER,DR,,94621,7900 EDGEWATER DR OAKLAND 94621,042 443500408,,,,
-122.217643602642923,37.767451612637373,742,45TH,AV,,94601,742 45TH AV OAKLAND 94601,034 229100100,,,,
-122.217853568569225,37.767309523683167,740,45TH,AV,,94601,740 45TH AV OAKLAND 94601,034 229100603,,,,
-122.218104649487771,37.767120586869645,730,45TH,AV,,94601,730 45TH AV OAKLAND 94601,034 229100604,,,,
-122.21839757123729,37.766900164711274,700,45TH,AV,,94601,700 45TH AV OAKLAND 94601,034 229100601,,,,
-122.219150609177035,37.767680640502341,4356,COLISEUM,WY,,94601,4356 COLISEUM WY OAKLAND 94601,034 229000401,,,,
-122.218947116510677,37.767491993656073,4416,COLISEUM,WY,,94601,4416 COLISEUM WY OAKLAND 94601,034 229000301,,,,
-122.218536384304883,37.767647482918527,729,45TH,AV,,94601,729 45TH AV OAKLAND 94601,034 229000100,,,,
-122.218776474335939,37.7673251477934,717,45TH,AV,,94601,717 45TH AV OAKLAND 94601,034 229000201,,,,
-122.219392954877776,37.768391497944265,720,HIGH,ST,,94601,720 HIGH ST OAKLAND 94601,034 229000601,,,,
-122.227286029071124,37.791365034885743,2521,GRANDE VISTA,AV,,94601,2521 GRANDE VISTA AV OAKLAND 94601,026 077900800,,,,
-122.232056899798394,37.771922833766695,2985,FORD,ST,,94601,2985 FORD ST OAKLAND 94601,025 067300700,,,,
-122.232377168061817,37.771855058206185,2955,FORD,ST,,94601,2955 FORD ST OAKLAND 94601,025 067300503,,,,
-122.205659685087326,37.781690769073279,4130,LYON,AV,,94601,4130 LYON AV OAKLAND 94601,032 206904800,,,,
-122.20536812608205,37.781764013140226,2521,HIGH,ST,,94601,2521 HIGH ST OAKLAND 94601,032 206904900,,,,
-122.205738807799236,37.781851914728499,4124,LYON,AV,,94601,4124 LYON AV OAKLAND 94601,032 206904701,,,,
-122.205738807799236,37.781851914728499,4118,LYON,AV,,94601,4118 LYON AV OAKLAND 94601,032 206904701,,,,
-122.178479240958083,37.750388422781121,1236,87TH,AV,,94621,1236 87TH AV OAKLAND 94621,042 427101900,,,,
-122.207494059270516,37.771597437655544,1617,50TH,AV,,94601,1617 50TH AV OAKLAND 94601,035 236100300,,,,
-122.17189098139302,37.746911190853851,9428,14TH,ST,,94603,9428 E 14TH ST OAKLAND 94603,046 542302100,,,,
-122.17189098139302,37.746911190853851,9428,INTERNATIONAL,BL,,94603,9428 INTERNATIONAL BL OAKLAND 94603,046 542302100,,,,
-122.171737800670755,37.746703941029274,9440,14TH,ST,,94603,9440 E 14TH ST OAKLAND 94603,046 542301900,,,,
-122.171737800670755,37.746703941029274,9440,INTERNATIONAL,BL,,94603,9440 INTERNATIONAL BL OAKLAND 94603,046 542301900,,,,
-122.171737800670755,37.746703941029274,9442,INTERNATIONAL,BL,,94603,9442 INTERNATIONAL BL OAKLAND 94603,046 542301900,,,,
-122.172161228766441,37.747121240874705,9400,INTERNATIONAL,BL,,94603,9400 INTERNATIONAL BL OAKLAND 94603,046 542300101,,,,
-122.171650272422724,37.746585513515171,9500,14TH,ST,,94603,9500 E 14TH ST OAKLAND 94603,046 542301802,,,,
-122.171650272422724,37.746585513515171,9500,INTERNATIONAL,BL,,94603,9500 INTERNATIONAL BL OAKLAND 94603,046 542301802,,,,
-122.171650272422724,37.746585513515171,9502,14TH,ST,,94603,9502 E 14TH ST OAKLAND 94603,046 542301802,,,,
-122.171650272422724,37.746585513515171,9502,INTERNATIONAL,BL,,94603,9502 INTERNATIONAL BL OAKLAND 94603,046 542301802,,,,
-122.171934743720371,37.746970406504921,9424,14TH,ST,,94603,9424 E 14TH ST OAKLAND 94603,046 542302200,,,,
-122.171934743720371,37.746970406504921,9424,INTERNATIONAL,BL,,94603,9424 INTERNATIONAL BL OAKLAND 94603,046 542302200,,,,
-122.171825333410368,37.746822371905417,9434,14TH,ST,,94603,9434 E 14TH ST OAKLAND 94603,046 542302000,,,,
-122.171825333410368,37.746822371905417,9434,INTERNATIONAL,BL,,94603,9434 INTERNATIONAL BL OAKLAND 94603,046 542302000,,,,
-122.172173792603999,37.74703904020167,9400,INTERNATIONAL,BL,,94603,9400 INTERNATIONAL BL STE A OAKLAND 94603,046 542300101,,,,
-122.172123876816926,37.747062638347607,9400,INTERNATIONAL,BL,,94603,9400 INTERNATIONAL BL STE B OAKLAND 94603,046 542300101,,,,
-122.172076363124916,37.747086202390825,9400,INTERNATIONAL,BL,,94603,9400 INTERNATIONAL BL STE C OAKLAND 94603,046 542300101,,,,
-122.17186424303857,37.747220464162297,1424,94TH,AV,,94603,1424 94TH AV OAKLAND 94603,046 542300202,,,,
-122.210894876120321,37.787093255550332,2530,35TH,AV,,94601,2530 35TH AV OAKLAND 94601,032 210103300,,,,
-122.211083880757769,37.786971044147656,2518,35TH,AV,,94601,2518 35TH AV OAKLAND 94601,032 210103200,,,,
-122.173260323804769,37.732959126153339,10786,PIPPIN,ST,,94603,10786 PIPPIN ST OAKLAND 94603,045 525601802,,,,
-122.173400045967426,37.733080944427371,10778,PIPPIN,ST,,94603,10778 PIPPIN ST OAKLAND 94603,045 525601803,,,,
-122.181071568662276,37.754724083001861,1273,82ND,AV,,94621,1273 82ND AV OAKLAND 94621,042 424701800,,,,
-122.226374430398906,37.774766824846488,3229,SAN LEANDRO,ST,,94601,3229 SAN LEANDRO ST OAKLAND 94601,033 218600301,,,,
-122.226035945199854,37.774571126794704,3301,SAN LEANDRO,ST,,94601,3301 SAN LEANDRO ST OAKLAND 94601,033 218700301,,,,
-122.225806542425744,37.774438035123119,3319,SAN LEANDRO,ST,,94601,3319 SAN LEANDRO ST OAKLAND 94601,033 218700400,,,,
-122.179759310593553,37.746259026394185,1010,91ST,AV,,94603,1010 91ST AV OAKLAND 94603,044 495803400,,,,
-122.179647560172228,37.746311299861283,1032,91ST,AV,,94603,1032 91ST AV OAKLAND 94603,044 495803500,,,,
-122.179925447717125,37.746181316149766,1004,91ST,AV,,94603,1004 91ST AV OAKLAND 94603,044 495803300,,,,
-122.179422886129771,37.746415617250449,1048,91ST,AV,,94603,1048 91ST AV OAKLAND 94603,044 495803700,,,,
-122.179422886129771,37.746415617250449,1044,91ST,AV,,94603,1044 91ST AV OAKLAND 94603,044 495803700,,,,
-122.227225310144462,37.775639671570062,3134,10TH,ST,,94601,3134 E 10TH ST OAKLAND 94601,025 069200500,,,,
-122.235423765720341,37.776521854875213,816,27TH,AV,,94601,816 27TH AV OAKLAND 94601,019 008301603,,,,
-122.209416267128972,37.758813740549314,6161,COLISEUM,WY,,94621,6161 COLISEUM WY OAKLAND 94621,041 390601100,,,,
-122.200227927398785,37.769293154265917,1724,55TH,AV,,94621,1724 55TH AV OAKLAND 94621,038 322900500,,,,
-122.200046481186121,37.769211620160071,5501,SCOVILLE,ST,,94621,5501 SCOVILLE ST OAKLAND 94621,038 322900700,,,,
-122.221335776377032,37.767759417487746,615,HIGH,ST,,94601,615 HIGH ST OAKLAND 94601,033 220300200,,,,
-122.232843786258044,37.776091702319846,2878,9TH,ST,,94601,2878 E 9TH ST OAKLAND 94601,019 008502200,,,,
-122.232695933443736,37.776381600330147,2861,10TH,ST,,94601,2861 E 10TH ST OAKLAND 94601,019 008502001,,,,
-122.200670471643704,37.740821285273171,8000,EDGEWATER,DR,,94621,8000 EDGEWATER DR OAKLAND 94621,042 443500411,,,,
-122.198494266935313,37.738888141251259,8301,OAKPORT,ST,,94621,8301 OAKPORT ST OAKLAND 94621,042 442502400,,,,
-122.198494266935313,37.738888141251259,8400,EDGEWATER,DR,,94621,8400 EDGEWATER DR OAKLAND 94621,042 442502400,,,,
-122.19668856787429,37.772861202341652,5472,FOOTHILL,BL,,94601,5472 FOOTHILL BL OAKLAND 94601,035 237600301,,,,
-122.196552627618971,37.772872036574171,5478,FOOTHILL,BL,,94601,5478 FOOTHILL BL OAKLAND 94601,035 237600200,,,,
-122.196675651897138,37.77310338306058,5443,TRASK,ST,,94601,5443 TRASK ST OAKLAND 94601,035 237602900,,,,
-122.191825652169754,37.759026155845063,1131,70TH,AV,,94621,1131 70TH AV OAKLAND 94621,041 413300600,,,,
-122.221869670303192,37.768408444764219,4200,ALAMEDA,AV,,94601,4200 ALAMEDA AV OAKLAND 94601,033 220300402,,,,
-122.218169086541437,37.786864766315233,2468,COOLIDGE,AV,,94601,2468 COOLIDGE AV OAKLAND 94601,027 087802000,,,,
-122.218263720463355,37.786741690542918,2464,COOLIDGE,AV,,94601,2464 COOLIDGE AV OAKLAND 94601,027 087801902,,,,
-122.218326810044076,37.78665963896762,2460,COOLIDGE,AV,,94601,2460 COOLIDGE AV OAKLAND 94601,027 087801901,,,,
-122.218389900523093,37.786577587301224,2456,COOLIDGE,AV,,94601,2456 COOLIDGE AV OAKLAND 94601,027 087801800,,,,
-122.218452986510542,37.786495535543722,2450,COOLIDGE,AV,,94601,2450 COOLIDGE AV OAKLAND 94601,027 087801700,,,,
-122.218171868623855,37.786254832776891,2407,34TH,AV,,94601,2407 34TH AV OAKLAND 94601,027 087801200,,,,
-122.218108778144824,37.786336881961944,2411,34TH,AV,,94601,2411 34TH AV OAKLAND 94601,027 087801100,,,,
-122.218050197208484,37.786413074770351,2421,34TH,AV,,94601,2421 34TH AV OAKLAND 94601,027 087801000,,,,
-122.217987106729481,37.786495125199501,2427,34TH,AV,,94601,2427 34TH AV OAKLAND 94601,027 087800900,,,,
-122.217924017148775,37.786577176957451,2433,34TH,AV,,94601,2433 34TH AV OAKLAND 94601,027 087800800,,,,
-122.217860926669715,37.786659227914413,2441,34TH,AV,,94601,2441 34TH AV OAKLAND 94601,027 087800700,,,,
-122.217797838885616,37.786741279490158,2447,34TH,AV,,94601,2447 34TH AV OAKLAND 94601,027 087800600,,,,
-122.215680160316339,37.786924961639372,3451,DAVIS,ST,,94601,3451 DAVIS ST OAKLAND 94601,027 087603400,,,,
